departamento,cargo,id_estructura,grupo_ocupacional
"DEPTO DE SERVICIOS PERSONALES, CIIVLES Y MILITARES",AUXILIAR ADMINISTRATIVO(A),61,TECNICO
"DEPTO DE SERVICIOS PERSONALES, CIIVLES Y MILITARES",ENCARGADO (A),62,ESTRATEGICO
"DEPTO DE SERVICIOS PERSONALES, CIIVLES Y MILITARES",SECRETARIA EJECUTIVA,63,OPERATIVO
DEPTO. DE SEGUIMIENTO Y CUMPLIMIENTO DE NORMAS,ENCARGADO (A),64,ESTRATEGICO
"DEPTO. DE SERVICIOS PERSONALES CIVILES, MILITARES",ANALISTA III,65,PROFESIONAL
"DEPTO. DE SERVICIOS PERSONALES CIVILES, MILITARES",ANALISTA II,66,PROFESIONAL
"DEPTO. DE SERVICIOS PERSONALES CIVILES, MILITARES",ANALISTA I,67,PROFESIONAL
"DEPTO. DE SERVICIOS PERSONALES CIVILES, MILITARES",SECRETARIA,68,OPERATIVO
DESPACHO DEL CONTRALOR,ASESOR,69,OPERATIVO
DESPACHO DEL CONTRALOR,AUXILIAR ADMINISTRATIVO,70,TECNICO
DESPACHO DEL CONTRALOR,CONTRALOR,71,OPERATIVO
DESPACHO DEL CONTRALOR,CONSERJE,72,OPERATIVO
DESPACHO DEL CONTRALOR,CHOFER III,73,OPERATIVO
DESPACHO DEL CONTRALOR,CAMARERO (A),74,OPERATIVO
DESPACHO DEL CONTRALOR,ASISTENTECONTRALOR,75,OPERATIVO
DESPACHO DEL CONTRALOR,ABOGADA,76,OPERATIVO
DESPACHO DEL CONTRALOR,ASISTENTE,77,OPERATIVO
DESPACHO DEL CONTRALOR,CAMARERO DEL DESPACHO,78,OPERATIVO
DESPACHO DEL CONTRALOR,MENSAJERO EXTERNO,79,OPERATIVO
DESPACHO DEL CONTRALOR,ANALISTA,80,PROFESIONAL
DESPACHO DEL SUB-CONTRALOR,ANALISTA III,81,PROFESIONAL
DESPACHO DEL SUB-CONTRALOR,SUB CONTRALOR,82,OPERATIVO
DESPACHO DEL SUB-CONTRALOR,CHOFER III,83,OPERATIVO
DESPACHO DEL SUB-CONTRALOR,AUXILIAR ADMINISTRATIVO(A),84,TECNICO
DESPACHO DEL SUB-CONTRALOR,ASISTENTESUB-CONTRALOR,85,OPERATIVO
DESPACHO DEL SUB-CONTRALOR,MENSAJERO INTERNO,86,OPERATIVO
DESPACHO DEL SUB-CONTRALOR,CHOFER,87,OPERATIVO
DESPACHO DEL SUB-CONTRALOR,ANALISTA I,88,PROFESIONAL
DIR ADMINISTRATIVA Y FINANCIERA,AUXILIAR ADMINISTRATIVO,89,TECNICO
DIR ADMINISTRATIVA Y FINANCIERA,AUXILIAR ADMINISTRATIVO(A),90,TECNICO
DIR ADMINISTRATIVA Y FINANCIERA,ANALISTA III,91,PROFESIONAL
DIR ADMINISTRATIVA Y FINANCIERA,AUDITOR II,92,PROFESIONAL
DIR ADMINISTRATIVA Y FINANCIERA,SECRETARIA EJECUTIVA,93,OPERATIVO
DIR ADMINISTRATIVA Y FINANCIERA,ENCARGADA ADMINISTRATIVA,94,OPERATIVO
DIR ADMINISTRATIVA Y FINANCIERA,ANALISTA COMPRAS,95,PROFESIONAL
DIR ADMINISTRATIVA Y FINANCIERA,PINTOR,96,OPERATIVO
DIR ADMINISTRATIVA Y FINANCIERA,CONTADORA,97,OPERATIVO
DIR ADMINISTRATIVA Y FINANCIERA,MENSAJERO EXTERNO,98,OPERATIVO
DIR ADMINISTRATIVA Y FINANCIERA,DIRECTORA ADMINISTRATIVA Y FI,99,ESTRATEGICO
DIR ADMINISTRATIVA Y FINANCIERA,MENSAJERO INTERNO,100,OPERATIVO
DIR ADMINISTRATIVA Y FINANCIERA,ENCARGADO DE TRANSPORTACION,101,ESTRATEGICO
DIR DE AUDITORIA DE ING. Y ARQUITEC,AUDITOR TECNICO,102,PROFESIONAL
DIR DE AUDITORIA DE ING. Y ARQUITEC,AUXILIAR INGENIERIA,103,TECNICO
DIR DE AUDITORIA DE ING. Y ARQUITEC,INGENIEROAUDITOR I,104,PROFESIONAL
DIR DE COMUNICACIONES Y REL PUBLICA,ENCARGADO UNIDAD DE PRENSA,105,ESTRATEGICO
DIR DE COMUNICACIONES Y REL PUBLICA,ENCARGADO DEPARTAMENTO DE COM,106,ESTRATEGICO
DIR DE COMUNICACIONES Y REL PUBLICA,PERIODISTA,107,OPERATIVO
DIR DE COMUNICACIONES Y REL PUBLICA,ENCARGADA DIVISION,108,OPERATIVO
DIR DE COMUNICACIONES Y REL PUBLICA,ANALISTA I,109,PROFESIONAL
DIR DE COMUNICACIONES Y REL PUBLICA,RECEPCIONISTA,110,OPERATIVO
DIR DE COMUNICACIONES Y REL PUBLICA,COORDINADORA DE PROTOCOLO,111,PROFESIONAL
DIR DE COMUNICACIONES Y REL PUBLICA,ANALISTA,112,PROFESIONAL
DIR DE COMUNICACIONES Y REL PUBLICA,ASESOR (A),113,OPERATIVO
DIR DE COMUNICACIONES Y REL PUBLICA,MAESTRO DE CEREMONIA,114,OPERATIVO
DIR DE COMUNICACIONES Y REL PUBLICA,SUB ENCARGADA,115,OPERATIVO
DIR DE COMUNICACIONES Y REL PUBLICA,ASISTENTEPROTOCOLO,116,OPERATIVO
DIR DE DESARROLLO NORMATIVO,ANALISTA II,117,PROFESIONAL
DIR DE DESARROLLO NORMATIVO,ANALISTA III,118,PROFESIONAL
DIR DE DESARROLLO NORMATIVO,DIRECTOR (A),119,ESTRATEGICO
DIR DE DESARROLLO NORMATIVO,AUDITOR III,120,PROFESIONAL
DIR. DE TECNOLOGIA DE LA INFORMACION,SOPORTE TECNICO,121,TECNICO
DIR. DE TECNOLOGIA DE LA INFORMACION,SOPORTE USUARIO,122,TECNICO
DIR. DE TECNOLOGIA DE LA INFORMACION,PROGRAMADOR (A) DE BASE DE DATOS,123,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,SECRETARIA,124,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,ANALISTA SISTEMAS INFORMATICO,125,PROFESIONAL
DIR. DE TECNOLOGIA DE LA INFORMACION,DIRECTOR (A),126,ESTRATEGICO
DIR. DE TECNOLOGIA DE LA INFORMACION,ENCARGADO (A)DE SOPORTE TECNICO,127,ESTRATEGICO
DIR. DE TECNOLOGIA DE LA INFORMACION,ADMINISTRADOR DE REDES,128,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,SOPORTE DE REDES,129,TECNICO
DIR. DE TECNOLOGIA DE LA INFORMACION,SECRETARIA EJECUTIVA,130,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,ENCARGADO (A)DE INFRAESTRUCTURA,131,ESTRATEGICO
DIR. DE TECNOLOGIA DE LA INFORMACION,ADMINISTRADOR DE SISTEMAS,132,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,PROGRAMADOR SENIOR,133,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,SOPORTE INFORMATICO,134,TECNICO
DIR. DE TECNOLOGIA DE LA INFORMACION,ASESOR,135,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,PROGRAMADOR,136,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,ENCARGADO PROG. Y SISTEMAS,137,ESTRATEGICO
DIR. DE TECNOLOGIA DE LA INFORMACION,ADMINISTRADOR DE BASE DE DATOS,138,OPERATIVO
DIR. DE TECNOLOGIA DE LA INFORMACION,SOPORTE DE SISTEMAS OPERATIVO,139,TECNICO
DIRECCION CERTIFICACION DE CONTRATOS,SUPERVISOR (A),140,PROFESIONAL
DIRECCION CERTIFICACION DE CONTRATOS,ENCARGADO (A)INTERINO,141,ESTRATEGICO
DIRECCION CERTIFICACION DE CONTRATOS,ANALISTA LEGAL,142,PROFESIONAL
DIRECCION CERTIFICACION DE CONTRATOS,ANALISTA FINANCIERO,143,PROFESIONAL
DIRECCION CERTIFICACION DE CONTRATOS,AUDITOR II,144,PROFESIONAL
DIRECCION CERTIFICACION DE CONTRATOS,AUXILIAR ADMINISTRATIVO,145,TECNICO
DIRECCION CERTIFICACION DE CONTRATOS,SECRETARIA EJECUTIVA,146,OPERATIVO
DIRECCION CERTIFICACION DE CONTRATOS,ABGADO,147,OPERATIVO
DIRECCION CERTIFICACION DE CONTRATOS,ANALISTA LEGAL - FINANCIERO,148,PROFESIONAL
DIRECCION CERTIFICACION DE CONTRATOS,AUDITOR LEGAL,149,PROFESIONAL
DIRECCION CERTIFICACION DE CONTRATOS,SUB-ENCARGADO (A),150,ESTRATEGICO
DIRECCION DE AUDITORIA INTERNA,AUDITOR II,151,PROFESIONAL
DIRECCION DE AUDITORIA INTERNA,AUDITOR III,152,PROFESIONAL
DIRECCION DE AUDITORIA INTERNA,AUDITOR I,153,PROFESIONAL
DIRECCION DE AUDITORIA INTERNA,AUXILIAR ADMINISTRATIVO,154,TECNICO
DIRECCION DE AUDITORIAS ESPECIALES,AUDITOR II,155,PROFESIONAL
DIRECCION DE AUDITORIAS ESPECIALES,AUDITOR LEGAL,156,PROFESIONAL
DIRECCION DE AUDITORIAS ESPECIALES,AUDITOR I,157,PROFESIONAL
DIRECCION DE AUDITORIAS ESPECIALES,AUXILIAR ADMINISTRATIVO,158,TECNICO
DIRECCION DE AUDITORIAS ESPECIALES,AUDITOR III,159,PROFESIONAL
DIRECCION DE AUDITORIAS ESPECIALES,SUPERVISOR (A),160,PROFESIONAL
DIRECCION DE AUDITORIAS ESPECIALES,AUXILIAR ADMINISTRATIVO(A),161,TECNICO
DIRECCION DE AUDITORIAS ESPECIALES,AUDITOR LEGAL II,162,PROFESIONAL
DIRECCION DE AUDITORIAS ESPECIALES,ENCARGADO (A),163,ESTRATEGICO
DIRECCION DE AUDITORIAS ESPECIALES,DIRECTOR (A),164,ESTRATEGICO
DIRECCION DE AUDITORIAS ESPECIALES,ENCARGADO (A) AUDITORIA SISTEMAS DE INFORMACION,165,ESTRATEGICO
DIRECCION DE AUDITORIAS ESPECIALES,AUDITOR INFORMATICA,166,PROFESIONAL
DIRECCION DE AUDITORIAS INTEGRALES,AUDITOR II,167,PROFESIONAL
DIRECCION DE AUDITORIAS INTEGRALES,AUDITOR III,168,PROFESIONAL
DIRECCION DE AUDITORIAS INTEGRALES,ENC. AUDITORIA INTERNA,169,PROFESIONAL
DIRECCION DE AUDITORIAS INTEGRALES,SUPERVISOR (A),170,PROFESIONAL
DIRECCION DE AUDITORIAS INTEGRALES,ENCARGADO (A),171,ESTRATEGICO
DIRECCION DE AUDITORIAS INTEGRALES,SECRETARIA EJECUTIVA,172,OPERATIVO
DIRECCION DE OPERACIONES,ASISTENTEADMINISTRATIVA,173,OPERATIVO
DIRECCION DE RECURSOS HUMANOS,ANALISTA II,174,PROFESIONAL
DIRECCION DE RECURSOS HUMANOS,ANALISTA III,175,PROFESIONAL
DIRECCION DE RECURSOS HUMANOS,SECRETARIA,176,OPERATIVO
DIRECCION DE RECURSOS HUMANOS,AUXILIAR DE SALUD,177,TECNICO
DIRECCION DE RECURSOS HUMANOS,ANALISTA DE NOMINA,178,PROFESIONAL
DIRECCION DE RECURSOS HUMANOS,DIRECTOR (A),179,ESTRATEGICO
DIRECCION DE RECURSOS HUMANOS,MEDICO,180,PROFESIONAL
DIRECCION DE RECURSOS HUMANOS,COORDINADOR (A)REGISTRO,181,PROFESIONAL
DIRECCION DE RECURSOS HUMANOS,ENC. RECLUT. SELEC.Y EVALUACI,182,OPERATIVO
DIRECCION DE RECURSOS HUMANOS,AUXILIAR DE RECURSOS HUMANOS,183,TECNICO
DIRECCION DE RECURSOS HUMANOS,AUXILLIAR DE SALUD,184,OPERATIVO
DIRECCION DE RECURSOS HUMANOS,ANALISTA CAPACITACION Y DESAR,185,PROFESIONAL
DIRECCION DE RECURSOS HUMANOS,AUXILIAR ADMINISTRATIVO,186,TECNICO
DIRECCION DE RECURSOS HUMANOS,ENCARGADO (A)CAPACITACION Y DESARROLLO,187,ESTRATEGICO
DIRECCION DE RECURSOS HUMANOS,ANALISTA,188,PROFESIONAL
DIRECCION DE REVISION Y CONTROL DE CALIDAD,AUDITOR III,189,PROFESIONAL
DIRECCION DE REVISION Y CONTROL DE CALIDAD,SUPERVISOR (A),190,PROFESIONAL
DIRECCION DE REVISION Y CONTROL DE CALIDAD,AUDITOR I,191,PROFESIONAL
DIRECCION DE REVISION Y CONTROL DE CALIDAD,AUDITOR II,192,PROFESIONAL
DIRECCION DE REVISION Y CONTROL DE CALIDAD,AUXILIAR ADMINISTRATIVO(A),193,TECNICO
DIRECCION DE REVISION Y CONTROL DE CALIDAD,MENSAJERO INTERNO,194,OPERATIVO
DIRECCION DE REVISION Y CONTROL DE CALIDAD,SUPERVISORA,195,PROFESIONAL
DIRECCION DE REVISION Y CONTROL DE CALIDAD,AUXILIAR ADMINISTRATIVO,196,TECNICO
DIRECCION DE REVISION Y CONTROL DE CALIDAD,CHOFER II,197,OPERATIVO
DIRECCION DE REVISION Y CONTROL DE CALIDAD,DIRECTOR (A),198,ESTRATEGICO
DIRECCION DE REVISION Y CONTROL DE CALIDAD,ANALISTA,199,PROFESIONAL
DIRECCION DE REVISION Y CONTROL DE CALIDAD,SECRETARIA EJECUTIVA,200,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUDITOR I,201,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR LEGAL,202,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR ADMINISTRATIVO(A),203,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR ADMINISTRATIVO,204,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUDITOR II,205,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADO (A)UNIDAD DE AUDITORIA INTERNA,206,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUDITOR III,207,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUDITOR TECNICO,208,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENC. AUDITORIA INTERNA,209,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR AUDITORIA,210,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADO UNIDAD DE AUDITORIA,211,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUDITOR LEGAL,212,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ABOGADO I,213,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADA UNIDAD DE AUDITORIA,214,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA FINANCIEROLEGAL,215,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR DE AUDITORIA,216,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA II,217,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR INGENIERIA,218,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADO DE UNIDAD,219,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,SECRETARIA,220,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,CHOFER I,221,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,SECRETARIO (A),222,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADO (A),223,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADA UAI,224,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,MENSAJERO INTERNO,225,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADA INTERINA,226,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA DE SEGUIMIENTO,227,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,SUPERVISOR (A),228,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,SECRETARIA EJECUTIVA,229,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA I,230,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUDITOR DE INGENIERIA Y ARQUITECTURA,231,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUDITOR LEGAL I,232,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA III,233,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ABOGADO (A),234,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,MECANICO,235,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR ABOGADO,236,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,SUPERVISORA AUDITORIA,237,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR,238,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,SUB-DIRECTOR,239,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ABOGADO (A) I,240,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,SUPERVISOR LA UAI,241,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,MEDICO VETERINARIO,242,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,INGENIERO,243,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ABOGADO II,244,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADO (A)DE UNIDAD DE AUDITORIA INTERNA,245,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUDITOR INGENIERIA Y ARQUITEC,246,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ASESOR(A) LEGAL,247,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,SOPORTE INFORMATICO,248,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ABOGADO (A) II,249,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,SUPERVISOR (A) LEGAL,250,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADO (A)INTERINO (A),251,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA DE OPERACIONES,252,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,MENSAJERO,253,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADA DE UNIDAD DE AUDITORIA,254,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,DIGITADOR(A),255,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA LEGAL,256,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR ADIMINISTRATIVO,257,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,SOPORTE TECNICO,258,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,SOPORTE A USUARIOS I,259,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,DIGITADOR,260,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ABOGADO,261,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA FINANCIERO,262,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,SUB-ENCARGADO DPTO AUDITO,263,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADO (A)DE DIVISION,264,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,AUXILIAR ADMNISTRATIVO,265,TECNICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ASISTENTE ADMINISTRATIVO,266,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENC. SECCION CORRESPONDENCIA,267,OPERATIVO
DIRECCION UNIDADES DE AUDITORIA INTERNA,SUPERVISORA,268,PROFESIONAL
DIRECCION UNIDADES DE AUDITORIA INTERNA,ENCARGADO (A)DEPARTAMENTO LE,269,ESTRATEGICO
DIRECCION UNIDADES DE AUDITORIA INTERNA,ANALISTA,270,PROFESIONAL
DIVISION DE CAPACITACION Y DESARROL,PROFESOR (A),271,OPERATIVO
DIVISION DE CERTIFICAC DE CARGOS,SECRETARIO (A),272,OPERATIVO
DIVISION DE CERTIFICAC DE CARGOS,AUXILIAR ADMINISTRATIVO(A),273,TECNICO
DIVISION DE CERTIFICAC DE CARGOS,AUXILIAR ADMINISTRATIVO,274,TECNICO
DIVISION DE CERTIFICAC DE CARGOS,SECRETARIA,275,OPERATIVO
DIVISION DE CERTIFICAC DE CARGOS,ENCARGADO (A),276,ESTRATEGICO
DIVISION DE CONTABILIDAD,CONTADOR,277,OPERATIVO
DIVISION DE CONTABILIDAD,AUXILIAR ADMINISTRATIVO,278,TECNICO
DIVISION DE CONTABILIDAD,ANALISTA DE EJECUCION PRESUPUESTARIA,279,PROFESIONAL
DIVISION DE CONTABILIDAD,CONTADOR (A),280,OPERATIVO
DIVISION DE CONTABILIDAD,ANALISTA III,281,PROFESIONAL
DIVISION DE CONTABILIDAD,AUXILIAR ADMINISTRATIVO(A),282,TECNICO
DIVISION DE CONTABILIDAD,ENC. CONTABILIDAD INTERNA,283,OPERATIVO
DIVISION DE CONTABILIDAD,MENSAJERO INTERNO,284,OPERATIVO
DIVISION DE CONTABILIDAD,CONTADORA,285,OPERATIVO
DIVISION DE CONTABILIDAD,ENCARGADO (A)DE NORMAS PRESU,286,ESTRATEGICO
DIVISION DE CORRESP Y ARCHIVO,ENCARGADO (A)ARCHIVO,287,ESTRATEGICO
